School District,Category,Pre-K Applicants,Pre-K Offers,Kindergarten Applicants,Kindergarten Offers,Grade 6 Applicants,Grade 6 Offers,Grade 9 Applicants,Grade 9 Offers
1,Zip Code 11375,s,s,s,s,74,6,103,7
1,Zip Code 11377,s,s,s,s,20,s,151,6
1,Zip Code 11378,s,s,s,s,12,s,61,8
1,Zip Code 11379,s,s,s,s,7,s,52,s
1,Zip Code 11385,8,s,8,s,54,7,196,15
1,Zip Code 11411,s,s,s,s,s,s,s,s
1,Zip Code 11412,s,s,s,s,8,s,15,s
1,Zip Code 11413,s,s,s,s,s,s,18,s
1,Zip Code 11414,s,s,s,s,s,s,13,s
1,Zip Code 11415,s,s,s,s,6,s,12,s
1,Zip Code 11416,s,s,s,s,11,s,42,s
1,Zip Code 11417,s,s,s,s,13,s,35,s
1,Zip Code 11418,s,s,s,s,13,s,30,s
1,Zip Code 11419,s,s,s,s,15,s,21,s
1,Zip Code 11420,s,s,s,s,9,s,19,s
1,Zip Code 11421,s,s,s,s,29,s,69,s
1,Zip Code 11422,s,s,s,s,s,s,14,s
1,Zip Code 11423,s,s,s,s,s,s,11,s
1,Zip Code 11426,s,s,s,s,s,s,8,s
1,Zip Code 11427,s,s,s,s,s,s,s,s
1,Zip Code 11428,s,s,s,s,s,s,9,s
1,Zip Code 11429,s,s,s,s,s,s,s,s
1,Zip Code 11432,s,s,s,s,s,s,69,s
1,Zip Code 11433,s,s,s,s,8,s,11,s
1,Zip Code 11434,s,s,s,s,14,s,25,s
1,Zip Code 11435,s,s,s,s,15,s,20,s
1,Zip Code 11436,s,s,s,s,s,s,7,s
1,Zip Code 11691,s,s,s,s,7,s,18,s
1,Zip Code 11692,s,s,s,s,s,s,23,s
1,Zip Code 11693,s,s,s,s,s,s,s,s
1,Zip Code 11694,s,s,s,s,s,s,7,s
1,Zip Code Unknown,s,s,s,s,s,s,s,s
2,All Students,"3,997","2,890","5,133","3,762","5,044","2,973","40,269","10,323"
2,Home Language is (AMERICAN) SIGN LANGUAGE,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is ADANGME,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is AFRIKAANS,N/A,N/A,N/A,N/A,s,s,10,s
2,Home Language is AKAN,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is ALBANIAN,N/A,N/A,N/A,N/A,15,s^,116,21
2,Home Language is AMHARIC,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is AMOY,N/A,N/A,N/A,N/A,s,s,9,s^
2,Home Language is ARABIC,N/A,N/A,N/A,N/A,18,s^,391,50
2,Home Language is ARMENIAN,N/A,N/A,N/A,N/A,s,s,12,s
2,Home Language is AZERBAIJANI,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is BALUCHI,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is BAMBARA,N/A,N/A,N/A,N/A,s,s,19,s
2,Home Language is BELORUSSIAN,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is BENGALI,N/A,N/A,N/A,N/A,17,6,"1,417",185
2,Home Language is BIHARI,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is BOSNIAN,N/A,N/A,N/A,N/A,s,s,15,s
2,Home Language is BULGARIAN,N/A,N/A,N/A,N/A,s,s,9,s
2,Home Language is BURMESE,N/A,N/A,N/A,N/A,s,s,20,s
2,Home Language is CANTONESE,N/A,N/A,N/A,N/A,109,99,600,183
2,Home Language is CATALAN,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is CEBUAN,N/A,N/A,N/A,N/A,s,s,s,s
2,Home Language is CHAM,N/A,N/A,N/A,N/A,s,s,s,s
2,"Home Language is CHINESE,ANY",N/A,N/A,N/A,N/A,170,141,"1,420",342
